Date,Close/Last,Volume,Open,High,Low
07/21/2023,$14.42,292253,$14.37,$14.44,$14.30
07/20/2023,$14.47,1770873,$14.40,$14.52,$14.38
07/19/2023,$14.37,251189,$14.27,$14.37,$14.27
07/18/2023,$14.34,479018,$14.32,$14.4599,$14.32
07/17/2023,$14.06,640869,$14.10,$14.10,$14.03
07/14/2023,$14.11,420305,$14.11,$14.14,$14.04
07/13/2023,$14.16,451088,$14.13,$14.20,$14.08
07/12/2023,$13.85,492592,$13.721,$13.89,$13.72
07/11/2023,$13.65,1650449,$13.64,$13.70,$13.5871
07/10/2023,$13.64,1160935,$13.60,$13.72,$13.58
07/07/2023,$13.87,1566918,$13.33,$14.50,$13.25
07/06/2023,$13.23,819551,$13.36,$13.36,$13.16
07/05/2023,$13.65,381689,$13.66,$13.71,$13.60
07/03/2023,$13.80,316073,$13.83,$13.84,$13.74
06/30/2023,$13.82,736691,$13.82,$13.87,$13.75
06/29/2023,$13.68,306636,$13.67,$13.768,$13.66
06/28/2023,$13.64,782444,$13.6098,$13.7048,$13.54
06/27/2023,$13.55,837127,$13.72,$13.79,$13.52
06/26/2023,$13.67,491179,$13.70,$13.70,$13.60
06/23/2023,$13.74,493884,$13.66,$13.75,$13.62
06/22/2023,$13.73,2074081,$13.84,$13.88,$13.73
06/21/2023,$13.91,674149,$13.85,$13.95,$13.80
06/20/2023,$13.93,1398045,$13.91,$13.96,$13.82
06/16/2023,$14.26,2761048,$14.321,$14.37,$14.11
06/15/2023,$14.18,1199632,$14.031,$14.21,$14.02
06/14/2023,$13.93,452228,$13.97,$14.01,$13.87
06/13/2023,$13.84,736496,$13.74,$13.98,$13.74
06/12/2023,$13.74,358505,$13.77,$13.77,$13.68
06/09/2023,$13.68,356401,$13.77,$13.79,$13.68
06/08/2023,$13.97,359491,$13.98,$14.04,$13.95
06/07/2023,$13.94,364194,$14.05,$14.105,$13.9178
06/06/2023,$13.99,522632,$13.98,$14.03,$13.90
06/05/2023,$13.92,542029,$14.05,$14.05,$13.92
06/02/2023,$14.09,281142,$14.09,$14.12,$14.05
06/01/2023,$13.98,592054,$13.87,$14.00,$13.828
