Date,Close/Last,Volume,Open,High,Low
07/21/2023,$108.59,679004,$107.50,$109.53,$106.58
07/20/2023,$107.72,487248,$109.56,$109.56,$107.60
07/19/2023,$109.13,632983,$108.10,$110.19,$107.90
07/18/2023,$108.15,448228,$107.50,$109.16,$107.48
07/17/2023,$107.21,498034,$107.95,$108.77,$106.94
07/14/2023,$108.24,530596,$110.41,$110.41,$108.11
07/13/2023,$109.51,543399,$109.89,$110.305,$108.96
07/12/2023,$109.00,557803,$109.00,$110.24,$108.18
07/11/2023,$107.90,455326,$106.99,$108.72,$106.7401
07/10/2023,$107.43,481311,$107.62,$108.92,$107.14
07/07/2023,$106.86,327563,$105.66,$107.64,$105.51
07/06/2023,$105.76,708789,$108.03,$108.255,$105.0304
07/05/2023,$109.08,816368,$107.68,$112.37,$107.50
07/03/2023,$107.82,337292,$107.42,$109.30,$107.25
06/30/2023,$107.93,465355,$107.43,$108.67,$106.97
06/29/2023,$107.00,495078,$106.55,$108.15,$105.58
06/28/2023,$106.90,512883,$105.79,$106.93,$104.72
06/27/2023,$105.86,410656,$106.94,$106.94,$105.39
06/26/2023,$106.93,439730,$107.00,$108.91,$106.72
06/23/2023,$107.14,524460,$106.87,$107.81,$105.55
06/22/2023,$107.31,398140,$107.48,$108.21,$106.87
06/21/2023,$107.46,737862,$108.77,$109.11,$107.42
06/20/2023,$109.94,639453,$111.84,$112.20,$109.48
06/16/2023,$112.55,664507,$113.93,$116.24,$112.40
06/15/2023,$113.00,901073,$111.06,$113.75,$110.51
06/14/2023,$110.95,767219,$115.67,$115.67,$110.91
06/13/2023,$115.60,1091754,$109.99,$116.3646,$109.75
06/12/2023,$109.79,480982,$108.51,$110.65,$108.51
06/09/2023,$109.25,507281,$109.45,$110.76,$108.605
06/08/2023,$108.97,642723,$109.84,$110.00,$108.46
06/07/2023,$109.41,410050,$110.00,$110.7499,$109.40
06/06/2023,$109.85,503529,$108.69,$110.47,$107.25
06/05/2023,$108.73,445413,$107.30,$108.93,$107.21
06/02/2023,$108.13,941733,$107.46,$109.61,$106.53
06/01/2023,$104.12,388222,$104.22,$105.05,$103.26
05/31/2023,$105.08,393486,$104.59,$106.10,$103.84
05/30/2023,$104.35,610723,$105.35,$105.42,$103.05
05/26/2023,$105.27,897509,$109.01,$109.38,$104.59
05/25/2023,$108.73,571400,$112.07,$112.14,$108.21
05/24/2023,$111.09,1149287,$117.00,$117.18,$110.31
05/23/2023,$116.30,2473058,$107.53,$119.005,$107.28
05/22/2023,$107.50,574700,$106.49,$108.88,$106.10
05/19/2023,$106.49,481049,$105.34,$107.3999,$104.92
05/18/2023,$104.95,604651,$105.25,$105.60,$103.95
05/17/2023,$105.15,943478,$108.04,$108.42,$105.15
05/16/2023,$105.60,487777,$106.77,$107.3203,$105.08
05/15/2023,$107.90,728871,$104.65,$108.266,$104.01
05/12/2023,$105.24,801742,$102.99,$106.04,$102.60
05/11/2023,$102.58,1076806,$101.50,$102.86,$100.08
05/10/2023,$102.60,1517909,$103.00,$104.69,$101.31
05/09/2023,$104.68,1413428,$105.92,$106.18,$101.98
05/08/2023,$108.05,1224024,$113.02,$113.02,$107.64
05/05/2023,$108.43,1218291,$107.445,$109.5799,$106.64
05/04/2023,$107.64,791793,$110.01,$110.945,$107.54
05/03/2023,$110.12,512786,$109.98,$111.19,$108.96
05/02/2023,$111.06,417988,$111.05,$113.305,$110.32
05/01/2023,$111.99,436218,$112.50,$113.33,$111.46
04/28/2023,$114.24,729990,$110.69,$114.90,$109.81
04/27/2023,$111.72,553180,$110.08,$111.88,$109.43
04/26/2023,$110.60,684110,$113.86,$114.20,$109.98
04/25/2023,$114.25,509569,$116.00,$116.50,$114.00
04/24/2023,$116.93,1192150,$113.84,$117.40,$111.53
04/21/2023,$118.28,855648,$120.39,$120.39,$117.831
04/20/2023,$120.94,350831,$120.76,$122.5831,$120.39
04/19/2023,$121.79,637613,$122.40,$123.0799,$120.47
04/18/2023,$123.19,513768,$125.00,$125.00,$122.44
04/17/2023,$124.75,688022,$129.00,$129.095,$124.02
04/14/2023,$129.66,313535,$129.10,$131.52,$128.14
04/13/2023,$129.65,436548,$126.14,$129.78,$125.59
04/12/2023,$125.81,358885,$126.62,$128.49,$125.76
04/11/2023,$126.34,344073,$126.25,$127.71,$125.5408
04/10/2023,$127.71,323285,$128.11,$128.51,$125.96
04/06/2023,$128.90,377322,$125.56,$128.9243,$125.21
04/05/2023,$125.60,333188,$126.00,$127.09,$125.14
04/04/2023,$125.87,628336,$129.60,$130.75,$125.10
04/03/2023,$129.53,665479,$124.15,$129.71,$124.15
03/31/2023,$124.57,805550,$121.95,$125.05,$121.72
03/30/2023,$122.57,775554,$122.85,$123.785,$121.26
03/29/2023,$122.97,627048,$124.35,$125.16,$122.59
03/28/2023,$123.00,783323,$124.05,$125.3699,$122.19
03/27/2023,$123.60,1794824,$123.20,$128.09,$119.98
03/24/2023,$128.20,619556,$128.50,$129.39,$127.23
03/23/2023,$129.39,837640,$134.895,$135.90,$128.00
03/22/2023,$133.68,439519,$134.11,$136.915,$133.25
03/21/2023,$133.33,534572,$132.24,$134.77,$132.00
03/20/2023,$132.08,470027,$128.81,$132.32,$128.50
03/17/2023,$129.64,794287,$130.82,$132.29,$129.52
03/16/2023,$131.96,506569,$130.40,$132.475,$129.18
03/15/2023,$129.94,578181,$128.28,$130.56,$128.28
03/14/2023,$130.38,496847,$130.70,$132.48,$129.56
03/13/2023,$129.77,514129,$124.59,$131.235,$124.59
03/10/2023,$127.45,694396,$127.01,$129.51,$126.25
03/09/2023,$127.29,693400,$128.99,$130.22,$127.17
03/08/2023,$128.88,370231,$128.62,$129.20,$127.91
03/07/2023,$129.02,404472,$131.02,$131.84,$129.02
03/06/2023,$131.54,281678,$131.00,$132.31,$130.26
03/03/2023,$130.77,507612,$128.45,$131.80,$128.445
03/02/2023,$127.98,536367,$126.52,$128.39,$125.44
03/01/2023,$127.48,804012,$128.29,$130.55,$126.52
02/28/2023,$130.05,557311,$130.15,$130.835,$129.05
02/27/2023,$130.86,663637,$134.00,$134.13,$130.00
02/24/2023,$133.31,673778,$132.39,$133.895,$129.02
02/23/2023,$134.39,1027105,$134.02,$135.60,$130.88
02/22/2023,$134.63,865854,$137.72,$138.51,$134.18
02/21/2023,$137.53,618319,$138.96,$141.925,$137.42
02/17/2023,$138.62,814924,$140.05,$140.28,$137.33
02/16/2023,$141.39,676459,$145.92,$146.675,$141.35
02/15/2023,$147.62,633967,$142.50,$147.66,$142.12
02/14/2023,$143.92,462812,$143.16,$144.40,$142.40
02/13/2023,$143.00,466790,$141.49,$143.70,$141.20
02/10/2023,$141.51,485707,$140.50,$142.32,$140.00
02/09/2023,$140.54,633945,$141.15,$144.19,$140.46
02/08/2023,$141.15,629879,$140.20,$142.35,$140.20
02/07/2023,$142.115,375807,$140.00,$142.14,$138.87
02/06/2023,$140.96,333835,$140.00,$142.56,$139.26
02/03/2023,$142.06,379160,$142.91,$145.22,$141.86
02/02/2023,$144.40,606823,$142.64,$144.97,$141.83
02/01/2023,$143.05,746599,$142.02,$144.475,$139.28
01/31/2023,$143.41,1248681,$138.05,$144.73,$138.05
