Date,Open,High,Low,Close,Adj Close,Volume
2018-07-24,25.772726,29.870129,25.772726,27.506493,26.229107,112585794
2018-07-25,26.590908,28.194805,26.577923,27.545454,26.266256,68863212
2018-07-26,27.922077,28.019480,26.519480,26.675323,25.436535,46945741
2018-07-27,26.298700,27.461039,25.824675,26.824675,25.578949,37542501
2018-07-30,26.720779,26.733767,24.142857,24.142857,23.021673,57496477
2018-07-31,23.461039,24.915585,23.461039,24.564936,23.424152,33011338
2018-08-01,24.870129,25.045454,24.383116,24.383116,23.250778,19961004
2018-08-02,24.402597,25.766233,24.370129,25.668831,24.476782,41699325
2018-08-03,25.551949,25.551949,24.344154,24.350649,23.219816,29324084
2018-08-06,23.883116,24.798700,23.246754,23.376623,22.291025,26882495
2018-08-07,23.461039,24.597403,23.376623,24.474026,23.337463,24498276
2018-08-08,24.461039,25.168831,23.948051,24.123377,23.003099,24127420
2018-08-09,24.428572,26.233767,24.175323,25.805195,24.606813,31436717
2018-08-10,25.727272,26.805195,25.727272,26.402597,25.176474,26947669
2018-08-13,26.045454,26.915585,26.006493,26.915585,25.665642,21188601
2018-08-14,27.149349,27.435064,26.103895,26.454544,25.226011,23693779
2018-08-15,26.545454,26.753246,25.370129,25.714285,24.520126,21326503
2018-08-16,25.214285,26.545454,25.064936,25.935064,24.730652,19012747
2018-08-17,26.038961,26.279221,24.090908,24.740259,23.591335,28957172
2018-08-20,24.675323,25.116882,24.000000,24.967531,23.808052,19441528
2018-08-21,25.129869,27.383116,24.798700,27.253246,25.987619,39264796
2018-08-22,26.993505,27.402597,26.428572,26.766233,25.523222,23997408
2018-08-23,26.818180,27.714285,26.545454,27.305195,26.037155,27387447
2018-08-24,27.253246,28.337662,26.954544,27.688311,26.402481,25576711
2018-08-27,27.727272,28.896103,27.545454,28.311687,26.996908,24663013
2018-08-28,28.272726,28.487013,27.662336,27.824675,26.532511,20039705
2018-08-29,27.922077,28.474026,27.727272,27.727272,26.439632,15809324
2018-08-30,27.740259,28.246754,27.337662,27.922077,26.625389,15135113
2018-08-31,27.584415,27.889610,26.727272,27.077923,25.820438,21068904
